Lithuanian,English
būti,to be
jis,he
kuris,which
su,with
ir,and
galėti,to be able to
metai,year
aš,i
kitas,the other
turėti,to have
straipsnis,article
įstatymas,the law
visas,the whole
respublika,republic
savas,own
kas,what
nuo,from
apie,about
toks,such
valstybė,state
darbas,work
už,for
projektas,project
kai,when
dalis,part
teisė,right
žmogus,a person
daug,a lot
bei,and
po,after
diena,day
arba,or
seimas,Seimas
dar,yet
nustatyti,to determine
asmuo,a person
nebūti,not to be
labai,very
tačiau,however
pat,the same
pats,himself
vyriausybė,the government
tu,you
šalis,country
pagal,according to
naujas,new
sakyti,to say
vieta,place
prie,to
savivaldybė,municipality
jei,if
įmonė,company
metas,time
narys,member
litas,litas
teismas,the court
prieš,against
jeigu,if
vaikas,child
veikla,activity
tvarka,order
žemė,land
ministerija,ministry
reikėti,need
gauti,to receive
koks,what
pateikti,to submit
pirmininkas,chairman
skirti,to assign
laikas,time
nes,because
miestas,city
manyti,think
didis,big
sprendimas,solution
pakeitimas,change
komisija,commission
norėti,to want
priimti,to accept
priemonė,tool
valstybinis,state
dabar,now
punktas,point
apsauga,protection
nurodyti,specify
tarnyba,service
jog,because
ministras,minister
kartas,times
įstaiga,institution
atlikti,perform
geras,good
taryba,council
net,even
ūkis,the farm
gyventi,to live
ar,or
nutarimas,resolution
klausimas,question
turtas,property
sutartis,contract
bendrovė,the company
dokumentas,document
institucija,institution
pradėti,to start
dirbti,to work
mokestis,fee
numatyti,to foresee
programa,program
vadovas,manager
rajonas,district
komitetas,committee
pasaulis,the world
todėl,therefore
duomuo,data
negalėti,not be able to
sveikata,health
pareigūnas,official
sudaryti,to conclude
mėnuo,month
atvejis,the case
grupė,group
socialinis,social
tyrimas,investigation
moteris,a woman
paslauga,service
informacija,information
tiek,so much
automobilis,car
gyventojas,resident
tapti,to become
patvirtinti,confirm
sistema,system
vykti,to go
kalbėti,to speak
mokykla,school
aktas,act
siūlyti,to propose
teigti,to claim
vyras,a man
policija,the police
centras,center
prezidentas,the president
rinkimai,elections
siekti,to pursue
kaina,the price
gerai,ok
žinoti,to know
teikti,to provide
reikalavimas,requirement
padaryti,to do
sąjunga,union
dalyvauti,to participate
lietuvis,Lithuanian
gyvenimas,life
kiekvienas,everyone
skyrius,department
bankas,bank
vykdyti,to carry out
žodis,word
namai,home
užsienis,a foreigner
lėšos,funds
darbuotojas,an employee
toli,far away
pinigas,money
svarbus,important
keli,several
draudimas,insurance
reikalas,the matter
byla,case
viešas,public
komanda,team
atstovas,a representative
tikras,sure
neturėti,not to have
galimybė,possibility
pagrindinis,main
departamentas,department
didelis,big
sąlyga,condition
biudžetas,budget
gal,maybe
papildyti,to supplement
kultūra,culture
tarp,between
vanduo,water
partija,party
naudoti,to use
likti,to stay
leisti,allow
visuomenė,society
daryti,to do
taisyklė,the rule
privalėti,have to
šeima,family
mažas,small
